"Code","Council","GP","Vacant","LAB","CON","LD","Other","SNP","PC","DUP","SF","AL","SDLP","UUP","raw_total","party"
"W06000008","Ceredigion","0","0","1","0","7","10","0","20","0","0","0","0","0","42","PC"
"E07000078","Cheltenham","1","0","0","6","31","2","0","0","0","0","0","0","0","40","LD"
"E07000177","Cherwell","2","0","10","25","7","4","0","0","0","0","0","0","0","48","CON"
"E07000118","Chorley","0","0","32","10","0","0","0","0","0","0","0","0","0","47","LAB"
"S12000036","City of Edinburgh","10","0","13","9","12","0","19","0","0","0","0","0","0","63","NOC"
"S12000005","Clackmannanshire","1","0","5","3","0","0","9","0","0","0","0","0","0","18","NOC"
"E07000071","Colchester","3","0","13","19","14","2","0","0","0","0","0","0","0","51","NOC"
"W06000003","Conwy","0","0","11","10","4","23","0","7","0","0","0","0","0","59","NOC"
"E08000026","Coventry","1","0","39","14","0","0","0","0","0","0","0","0","0","54","LAB"
"E07000226","Crawley","0","0","18","17","0","1","0","0","0","0","0","0","0","36","NOC"
"E09000008","Croydon","0","0","0","0","0","0","0","0","0","0","0","0","0","70","None"
"ENEW_C","Cumberland","2","0","30","7","4","3","0","0","0","0","0","0","0","46","LAB"
"W06000004","Denbighshire","0","0","19","6","1","14","0","8","0","0","0","0","0","47","NOC"
"E06000015","Derby","0","0","16","18","8","9","0","0","0","0","0","0","0","51","NOC"
"E08000027","Dudley","0","0","26","46","0","0","0","0","0","0","0","0","0","72","CON"
"S12000006","Dumfries and Galloway","0","0","9","16","1","6","11","0","0","0","0","0","0","43","NOC"
"S12000042","Dundee City","0","0","9","1","4","0","15","0","0","0","0","0","0","29","SNP"
"E09000009","Ealing","0","0","59","5","6","0","0","0","0","0","0","0","0","69","LAB"
"N06000005","East Antrim","0","0","0","0","0","0","0","0","2","0","2","0","1","5","NOC"
"S12000008","East Ayrshire","0","0","10","4","0","4","14","0","0","0","0","0","0","32","NOC"
"S12000045","East Dunbartonshire","0","0","4","3","6","1","8","0","0","0","0","0","0","22","NOC"
"N06000006","East Londonderry","0","0","0","0","0","1","0","0","2","1","0","1","0","5","NOC"
"S12000010","East Lothian","1","0","10","4","0","0","7","0","0","0","0","0","0","22","NOC"
"S12000011","East Renfrewshire","0","0","5","5","0","2","6","0","0","0","0","0","0","18","NOC"
"E07000086","Eastleigh","0","0","0","1","34","4","0","0","0","0","0","0","0","39","LD"
"E07000207","Elmbridge","0","0","0","15","13","20","0","0","0","0","0","0","0","48","NOC"
"E09000010","Enfield","0","0","38","25","0","0","0","0","0","0","0","0","0","63","LAB"
"E07000072","Epping Forest","3","0","0","35","4","16","0","0","0","0","0","0","0","58","CON"
"E07000041","Exeter","5","0","26","5","2","1","0","0","0","0","0","0","0","39","LAB"
"S12000014","Falkirk","0","0","9","5","0","4","12","0","0","0","0","0","0","30","NOC"
"E07000087","Fareham","0","0","0","25","5","1","0","0","0","0","0","0","0","31","CON"
